CaseID$,CNAME,STCODE,CCODE,TOTPOP,TOTMEMB,TOTCHUR,SDA_M,SDA_C,AOG_M,AOG_C,ABC_M,ABC_C,SBC_M,SBC_C,COB_M,COB_C,COGT_M,COGT_C,COGI_M,COGI_C,CGC_M,CGC_C,NAZRN_M,NAZRN_C,CCC_M,CCC_C,DOCIC_M,DOCIC_C,ARAPO_M,ARAPO_C,GRKAD_M,GRKAD_C,ERC_M,ERC_C,EUBC_M,EUBC_C,JEWS_M,JEWS_C,LDS_M,LDS_C,RLDS_M,RLDS_C,ALUTH_M,ALUTH_C,AELC_M,AELC_C,ELCA_M,ELCA_C,LCMS_M,LCMS_C,LUWS_M,LUWS_C,ULCA_M,ULCA_C,METH_M,METH_C,PCUS_M,PCUS_C,PCUSA_M,PCUSA_C,UPCNA_M,UPCNA_C,EPISC_M,EPISC_C,CRC_M,CRC_C,RCA_M,RCA_C,CATH_M,CATH_C,ACC_M,ACC_C,LAU_M,LAU_C,AMANA_M,AMANA_C,BAHAI_M,BAHAI_C,BAPGC_M,BAPGC_C,CUBA_M,CUBA_C,NABGC_M,NABGC_C,SDBGC_M,SDBGC_C,UNBAP_M,UNBAP_C,BPC_M,BPC_C,BRETO_M,BRETO_C,BRETP_M,BRETP_C,COGDU_M,COGDU_C,PLYBR_M,PLYBR_C,BRCHR_M,BRCHR_C,COCUS_M,COCUS_C,NJUSA_M,NJUSA_C,GCNJ_M,GCNJ_C,DIVSC_M,DIVSC_C,ACROC_M,ACROC_C,BEOC_M,BEOC_C,ECC_M,ECC_C,EFCA_M,EFCA_C,EMCCA_M,EMCCA_C,ACCA_M,ACCA_C,COG_M,COG_C,MISSB_M,MISSB_C,MCA_M,MCA_C,RSFC_M,RSFC_C,RSFGC_M,RSFGC_C,RSFF_M,RSFF_C,RSFPV_M,RSFPV_C,CYMF_M,CYMF_C,OYMFC_M,OYMFC_C,UCAMM_M,UCAMM_C,FSQU_M,FSQU_C,BICK_M,BICK_C,CUTLR_M,CUTLR_C,UELC_M,UELC_C,SELC_M,SELC_C,NEGM_M,NEGM_C,LUTHB_M,LUTHB_C,AELC_M2,AELC_C2,LUTHES_M,LUTHES_C,FINNL_M,FINNL_C,FINNS_M,FINNS_C,EVMEN_M,EVMEN_C,COMEN_M,COMEN_C,HUTTB_M,HUTTB_C,MENB_M,MENB_C,MENN_M,MENN_C,OOAMC_M,OOAMC_C,OOMEN_M,OOMEN_C,MENRE_M,MENRE_C,STMEN_M,STMEN_C,UMISS_M,UMISS_C,FMETH_M,FMETH_C,HMETH_M,HMETH_C,LRMET_M,LRMET_C,PRMET_M,PRMET_C,PRFRN_M,PRFRN_C,ZUAC_M,ZUAC_C,WESLN_M,WESLN_C,BOHMN_M,BOHMN_C,MORAV_M,MORAV_C,OCATH_M,OCATH_C,OBSC_M,OBSC_C,PENT_M,PENT_C,PENTH_M,PENTH_C,PILGH_M,PILGH_C,ARRPS_M,ARRPS_C,CPCH_M,CPCH_C,RECH_M,RECH_C,SOCBR_M,SOCBR_C,NSAC_M,NSAC_C,UNCHU_M,UNCHU_C,UBC_M,UBC_C,UCHRC_M,UCHRC_C,UCA_M,UCA_C,VEDS_M,VEDS_C,VLNTR_M,VLNTR_C,CGP_M,CGP_C
43,"Lowndes, AL",1,85,18018,1958,29,0,0,0,0,0,0,765,9,0,0,0,0,0,0,0,0,0,0,0,0,668,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,3,116,3,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Macon, AL",1,87,30561,3828,28,0,0,0,1,0,0,1372,8,0,0,0,0,0,0,0,1,0,0,0,0,232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411,10,270,4,0,0,0,0,242,2,0,0,0,0,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"Madison, AL",1,89,72903,17069,80,365,2,34,2,0,0,11577,39,0,0,195,3,136,3,0,2,69,1,0,0,124,1,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1,652,7,579,2,633,5,0,0,682,1,0,0,0,0,698,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2
46,"Marengo, AL",1,91,29494,6591,57,0,0,0,1,0,0,4256,25,0,0,116,5,0,0,0,1,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554,13,165,5,49,2,0,0,300,2,0,0,0,0,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Marion, AL",1,93,27264,5558,43,0,0,54,1,0,0,3323,20,0,0,36,1,0,0,0,1,0,0,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,3
48,"Marshall, AL",1,95,45090,17667,91,0,0,0,0,0,0,12850,57,0,0,248,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4136,23,0,0,0,0,0,0,75,1,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,225,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Mobile, AL",1,97,231105,90464,217,696,3,1278,19,0,0,36581,68,63,1,903,11,120,3,0,9,258,3,0,0,948,2,0,0,0,1,0,0,0,0,1750,0,0,0,686,2,264,1,0,0,0,0,629,1,0,0,198,1,15601,43,3352,7,0,0,0,0,4560,12,0,0,0,0,21978,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,3,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2
50,"Monroe, AL",1,99,25732,6995,52,0,0,220,6,0,0,5388,27,0,0,17,1,0,0,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,0,0,0,0,0,0,0,0,0,0,0,0,747,7,200,4,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Montgomery, AL",1,101,138965,41702,93,159,2,139,2,0,0,20076,32,0,0,138,1,50,2,0,1,59,1,56,1,863,4,0,0,0,1,0,0,0,0,1200,0,0,0,52,1,198,1,0,0,0,0,72,1,0,0,0,0,9551,20,3740,8,0,0,0,0,2364,5,0,0,0,0,2941,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,24,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"Morgan, AL",1,103,52924,24903,122,0,0,10,1,0,0,12433,53,0,0,342,3,370,7,0,2,119,2,41,1,763,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1,0,0,0,0,9057,37,390,2,463,3,0,0,349,1,0,0,0,0,375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2
53,"Perry, AL",1,105,20439,4189,30,0,0,29,1,0,0,2685,16,0,0,66,1,0,0,0,0,44,1,10,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,3,280,2,0,0,0,0,137,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Pickens, AL",1,107,24349,7511,68,0,0,35,1,0,0,4386,36,0,0,10,1,0,0,0,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2555,20,460,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1
